Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
Gini index,"SI.POV.GINI","Bhutan","BTN","..","..","38.8","..","..","..","..","37.4","..","..","..",".."
Gini index,"SI.POV.GINI","Bolivia","BOL","..","61.6","46.6","47.6","47.8","46.7","45.3","44.6","42.6","41.6","43.6",".."
Gini index,"SI.POV.GINI","Bosnia and Herzegovina","BIH","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Botswana","BWA","..","..","..","..","..","53.3","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Brazil","BRA","60.5","..","53.4","52.7","52","51.9","53.3","53.3","53.9","53.5","48.9",".."
Gini index,"SI.POV.GINI","British Virgin Islands","VGB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Brunei Darussalam","BRN","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Bulgaria","BGR","..","..","36","36.6","37.4","38.6","40.6","40.4","41.3","40.3","..",".."
Gini index,"SI.POV.GINI","Burkina Faso","BFA","..","..","..","..","35.3","..","..","..","47.3","..","..",".."
Gini index,"SI.POV.GINI","Burundi","BDI","..","..","..","38.6","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Cabo Verde","CPV","..","..","..","..","..","42.4","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Cambodia","KHM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Cameroon","CMR","..","..","..","..","46.6","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Canada","CAN","..","33.3","33.5","33.8","33.2","33.7","32.7","33.3","..","..","..",".."
Gini index,"SI.POV.GINI","Cayman Islands","CYM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Central African Republic","CAF","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Chad","TCD","..","..","..","..","..","..","..","..","37.5","..","..",".."
Gini index,"SI.POV.GINI","Channel Islands","CHI","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Chile","CHL","57.2","52.8","..","45.8","..","44.4","..","44.4","..","..","44.9",".."
Gini index,"SI.POV.GINI","China","CHN","32.2","..","42.2","39.7","39.2","38.6","38.5","39.1","38.5","38.2","..",".."
Gini index,"SI.POV.GINI","Colombia","COL","..","58.7","52.6","52.6","52.6","51","50.6","49.7","50.4","51.3","54.2",".."
Gini index,"SI.POV.GINI","Comoros","COM","..","..","..","..","45.3","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Congo, Dem. Rep.","COD","..","..","42.1","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Congo, Rep.","COG","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Costa Rica","CRI","45.3","47.4","48.4","49.2","48.6","48.4","48.7","48.3","48","48.2","49.3",".."
Gini index,"SI.POV.GINI","Cote d'Ivoire","CIV","..","..","..","..","..","41.5","..","..","37.2","..","..",".."
Gini index,"SI.POV.GINI","Croatia","HRV","..","..","32.5","32","32.1","31.1","30.9","30.4","29.7","28.9","..",".."
Gini index,"SI.POV.GINI","Cuba","CUB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Curacao","CUW","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Cyprus","CYP","..","..","34.3","37","35.6","34","32.9","31.4","32.7","31.2","..",".."
Gini index,"SI.POV.GINI","Czech Republic","CZE","..","..","26.1","26.5","25.9","25.9","25.4","24.9","25","25.3","..",".."
Gini index,"SI.POV.GINI","Denmark","DNK","..","23.8","27.8","28.5","28.4","28.2","28.2","28.7","28.2","27.7","..",".."
Gini index,"SI.POV.GINI","Djibouti","DJI","..","..","45.1","44.1","..","..","..","41.6","..","..","..",".."
Gini index,"SI.POV.GINI","Dominica","DMA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Dominican Republic","DOM","..","51.5","46.1","47.7","44.3","45.2","45.7","42.2","43.7","41.9","39.6",".."
Gini index,"SI.POV.GINI","Ecuador","ECU","..","56.4","46.1","46.9","45","46","45","44.7","45.4","45.7","47.3",".."
Gini index,"SI.POV.GINI","Egypt, Arab Rep.","EGY","32","..","28.3","..","..","31.8","..","31.5","..","..","..",".."
Gini index,"SI.POV.GINI","El Salvador","SLV","..","51.5","41.8","43.4","41.6","40.6","40","38","38.6","38.8","..",".."
Gini index,"SI.POV.GINI","Equatorial Guinea","GNQ","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Eritrea","ERI","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Estonia","EST","..","..","32.9","35.1","34.6","32.7","31.2","30.4","30.3","30.8","..",".."
Gini index,"SI.POV.GINI","Eswatini","SWZ","..","53.1","..","..","..","..","54.6","..","..","..","..",".."
Gini index,"SI.POV.GINI","Ethiopia","ETH","..","..","..","..","..","35","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Faroe Islands","FRO","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Fiji","FJI","..","..","..","36.7","..","..","..","..","..","30.7","..",".."
Gini index,"SI.POV.GINI","Finland","FIN","..","27.2","27.1","27.2","26.8","27.1","27.1","27.4","27.3","27.7","..",".."
Gini index,"SI.POV.GINI","France","FRA","..","31.1","33.1","32.5","32.3","32.7","31.9","31.6","32.4","..","..",".."
Gini index,"SI.POV.GINI","French Polynesia","PYF","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Gabon","GAB","..","..","..","..","..","..","..","38","..","..","..",".."
Gini index,"SI.POV.GINI","Gambia, The","GMB","..","..","..","..","..","35.9","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Georgia","GEO","..","40.5","39","38.6","37.6","36.5","36.6","37.9","36.4","35.9","34.5",".."
Gini index,"SI.POV.GINI","Germany","DEU","..","28.9","31.1","31.5","30.9","31.6","31.6","31.2","31.7","..","..",".."
Gini index,"SI.POV.GINI","Ghana","GHA","..","..","42.4","..","..","..","43.5","..","..","..","..",".."
Gini index,"SI.POV.GINI","Gibraltar","GIB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Greece","GRC","..","34.2","36.3","36.1","35.8","36","35","34.4","32.9","33.1","..",".."
Gini index,"SI.POV.GINI","Greenland","GRL","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Grenada","GRD","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Guam","GUM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Guatemala","GTM","..","54.2","..","..","48.3","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Guinea","GIN","..","..","33.7","..","..","..","..","..","29.6","..","..",".."
Gini index,"SI.POV.GINI","Guinea-Bissau","GNB","..","..","..","..","..","..","..","..","34.8","..","..",".."
Gini index,"SI.POV.GINI","Guyana","GUY","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Haiti","HTI","..","..","41.1","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Honduras","HND","57.4","..","53.4","50","49.9","49.2","49.8","49.4","48.9","48.2","..",".."
Gini index,"SI.POV.GINI","Hong Kong SAR, China","HKG","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Hungary","HUN","..","..","30.8","31.5","30.9","30.4","30.3","30.6","29.6","30","..",".."
Gini index,"SI.POV.GINI","Iceland","ISL","..","..","26.8","25.4","27.8","26.8","27.2","26.1","..","..","..",".."
Gini index,"SI.POV.GINI","India","IND","..","..","..","..","..","34.7","34.8","35.9","34.6","35.7","..",".."
Gini index,"SI.POV.GINI","Indonesia","IDN","32.3","29.5","40.5","40.8","40.2","40.4","39.3","38.8","38.4","37.6","37.6","37.9"
Gini index,"SI.POV.GINI","Iran, Islamic Rep.","IRN","43.6","..","..","37.4","38.8","39.5","40","40.8","42","40.9","..",".."
Gini index,"SI.POV.GINI","Iraq","IRQ","..","..","29.5","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Ireland","IRL","..","33","33.2","33.5","31.9","31.8","32.8","31.4","30.6","..","..",".."
Gini index,"SI.POV.GINI","Isle of Man","IMN","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Israel","ISR","..","..","41.6","40.2","39.8","39.7","39","38.2","38.6","..","..",".."
Gini index,"SI.POV.GINI","Italy","ITA","..","35.3","35.2","34.9","34.7","35.4","35.2","35.9","35.2","..","..",".."
Gini index,"SI.POV.GINI","Jamaica","JAM","41.1","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Japan","JPN","..","..","..","32.9","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Jordan","JOR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Kazakhstan","KAZ","..","..","28.2","27.1","27","26.8","27.2","27.5","27.8","..","..",".."
Gini index,"SI.POV.GINI","Kenya","KEN","..","..","..","..","..","40.8","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Kiribati","KIR","..","..","..","..","..","..","..","..","..","27.8","..",".."
Gini index,"SI.POV.GINI","Korea, Dem. People's Rep.","PRK","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Korea, Rep.","KOR","..","..","31.6","..","31.2","..","31.4","..","..","..","..",".."
Gini index,"SI.POV.GINI","Kosovo","XKX","..","..","29","26.3","27.3","26.5","26.7","29","..","..","..",".."
Gini index,"SI.POV.GINI","Kuwait","KWT","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Kyrgyz Republic","KGZ","..","31","27.4","28.8","26.8","29","26.8","27.3","27.7","29.7","29",".."
Gini index,"SI.POV.GINI","Lao PDR","LAO","..","..","36","..","..","..","..","..","38.8","..","..",".."
Gini index,"SI.POV.GINI","Latvia","LVA","..","..","35.2","35.5","35.1","34.2","34.3","35.6","35.1","34.5","..",".."
Gini index,"SI.POV.GINI","Lebanon","LBN","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Lesotho","LSO","..","..","..","..","..","..","..","44.9","..","..","..",".."
Gini index,"SI.POV.GINI","Liberia","LBR","..","..","..","..","33.2","..","35.3","..","..","..","..",".."
Gini index,"SI.POV.GINI","Libya","LBY","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Liechtenstein","LIE","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Lithuania","LTU","..","..","35.1","35.3","37.7","37.4","38.4","37.3","35.7","35.3","..",".."
Gini index,"SI.POV.GINI","Luxembourg","LUX","..","30.4","34.3","32","31.2","32.9","31.7","34.5","35.4","34.2","..",".."
Gini index,"SI.POV.GINI","Macao SAR, China","MAC","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Madagascar","MDG","..","..","42.6","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Malawi","MWI","..","..","..","..","..","..","44.7","..","..","38.5","..",".."
Gini index,"SI.POV.GINI","Malaysia","MYS","..","..","..","41.3","..","41.1","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Maldives","MDV","..","..","..","..","..","..","31.3","..","..","29.3","..",".."
Gini index,"SI.POV.GINI","Mali","MLI","..","..","..","..","..","..","..","..","36.1","..","..",".."
Gini index,"SI.POV.GINI","Malta","MLT","..","..","29.4","28.8","29","29.4","29.1","29.2","28.7","31","..",".."
Gini index,"SI.POV.GINI","Marshall Islands","MHL","..","..","..","..","..","..","..","..","..","35.5","..",".."
Gini index,"SI.POV.GINI","Mauritania","MRT","..","39","..","..","32.6","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Mauritius","MUS","..","..","38.5","..","..","..","..","36.8","..","..","..",".."
Gini index,"SI.POV.GINI","Mexico","MEX","..","52.6","48.7","..","48.7","..","47.7","..","46.7","..","45.4",".."
Gini index,"SI.POV.GINI","Micronesia, Fed. Sts.","FSM","..","..","..","40.1","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Moldova","MDA","..","36.4","29.2","28.5","26.8","27","26.3","25.9","25.7","26","..",".."
Gini index,"SI.POV.GINI","Monaco","MCO","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Mongolia","MNG","..","..","33.8","..","32","..","32.3","..","32.7","..","..",".."
Gini index,"SI.POV.GINI","Montenegro","MNE","..","..","41.2","39","38.8","39","38.5","36.9","36.8","..","..",".."
Gini index,"SI.POV.GINI","Morocco","MAR","39.2","40.6","..","39.5","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Mozambique","MOZ","..","..","..","..","54","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Myanmar","MMR","..","..","..","..","..","38.1","..","30.7","..","..","..",".."
Gini index,"SI.POV.GINI","Namibia","NAM","..","..","..","..","..","59.1","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Nauru","NRU","..","..","34.8","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Nepal","NPL","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Netherlands","NLD","31.1","..","27.6","28.1","28.6","28.2","28.2","28.5","28.1","29.2","..",".."
Gini index,"SI.POV.GINI","New Caledonia","NCL","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","New Zealand","NZL","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Nicaragua","NIC","..","..","..","..","46.2","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Niger","NER","..","..","..","..","34.3","..","..","..","37.3","..","..",".."
Gini index,"SI.POV.GINI","Nigeria","NGA","..","..","35.5","..","..","35.9","..","..","35.1","..","..",".."
Gini index,"SI.POV.GINI","North Macedonia","MKD","..","..","38.1","36.2","35.2","35.6","34.5","34.2","33","..","..",".."
Gini index,"SI.POV.GINI","Northern Mariana Islands","MNP","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Norway","NOR","..","27.4","25.7","26.4","26.8","27.5","28.5","27","27.6","27.7","..",".."
Gini index,"SI.POV.GINI","Oman","OMN","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Pakistan","PAK","33.2","..","..","29.5","..","31.3","..","..","29.6","..","..",".."
Gini index,"SI.POV.GINI","Palau","PLW","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Panama","PAN","..","56.6","51.7","51.5","50.5","50.8","50.4","49.9","49.2","49.8","..",".."
Gini index,"SI.POV.GINI","Papua New Guinea","PNG","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Paraguay","PRY","40.8","..","47.6","47.9","50.7","47.6","47.9","48.5","46","45.7","43.5",".."
Gini index,"SI.POV.GINI","Peru","PER","..","49.1","44.4","43.9","43.1","43.4","43.6","43.3","42.4","41.6","43.8",".."
Gini index,"SI.POV.GINI","Philippines","PHL","..","47.7","46.5","..","..","44.6","..","..","42.3","..","..",".."
Gini index,"SI.POV.GINI","Poland","POL","..","..","33","33.1","32.8","31.8","31.2","29.7","30.2","..","..",".."
Gini index,"SI.POV.GINI","Portugal","PRT","..","..","36","36.2","35.6","35.5","35.2","33.8","33.5","32.8","..",".."
Gini index,"SI.POV.GINI","Puerto Rico","PRI","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Qatar","QAT","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Romania","ROU","..","..","36.5","36.9","36","35.9","34.4","36","35.8","34.8","..",".."
Gini index,"SI.POV.GINI","Russian Federation","RUS","..","37.1","40.7","40.9","39.9","37.7","36.8","37.2","37.5","37.7","36",".."
Gini index,"SI.POV.GINI","Rwanda","RWA","..","48.5","..","45.1","..","..","43.7","..","..","..","..",".."
Gini index,"SI.POV.GINI","Samoa","WSM","..","..","..","38.7","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","San Marino","SMR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Sao Tome and Principe","STP","..","32.1","..","..","..","..","..","40.7","..","..","..",".."
Gini index,"SI.POV.GINI","Saudi Arabia","SAU","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Senegal","SEN","..","..","..","..","..","..","..","..","38.1","..","..",".."
Gini index,"SI.POV.GINI","Serbia","SRB","..","..","39.9","39.5","40.5","40.5","38.8","36.2","35","34.5","..",".."
Gini index,"SI.POV.GINI","Seychelles","SYC","..","..","..","46.8","..","..","..","..","32.1","..","..",".."
Gini index,"SI.POV.GINI","Sierra Leone","SLE","..","..","..","..","..","..","..","..","35.7","..","..",".."
Gini index,"SI.POV.GINI","Singapore","SGP","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Sint Maarten (Dutch part)","SXM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Slovak Republic","SVK","..","..","26.1","28.1","26.1","26.5","25.2","23.2","25","23.2","..",".."
Gini index,"SI.POV.GINI","Slovenia","SVN","..","..","25.6","26.2","25.7","25.4","24.8","24.2","24.6","24.4","..",".."
Gini index,"SI.POV.GINI","Solomon Islands","SLB","..","..","37.1","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Somalia","SOM","..","..","..","..","..","..","..","36.8","..","..","..",".."
Gini index,"SI.POV.GINI","South Africa","ZAF","..","57.8","..","..","63","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","South Sudan","SSD","..","..","..","..","..","..","44.1","..","..","..","..",".."
Gini index,"SI.POV.GINI","Spain","ESP","32","34.3","35.4","36.2","36.1","36.2","35.8","34.7","34.7","34.3","..",".."
Gini index,"SI.POV.GINI","Sri Lanka","LKA","32.4","..","38.7","..","..","..","39.3","..","..","..","..",".."
Gini index,"SI.POV.GINI","St. Kitts and Nevis","KNA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","St. Lucia","LCA","..","..","..","..","..","..","51.2","..","..","..","..",".."
Gini index,"SI.POV.GINI","St. Martin (French part)","MAF","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","St. Vincent and the Grenadines","VCT","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Sudan","SDN","..","..","..","..","34.2","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Suriname","SUR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Sweden","SWE","..","27.2","27.6","28.8","28.4","29.2","29.6","28.8","30","29.3","..",".."
Gini index,"SI.POV.GINI","Switzerland","CHE","..","33.4","31.6","32.5","32.5","32.3","33","32.7","33.1","..","..",".."
Gini index,"SI.POV.GINI","Syrian Arab Republic","SYR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Tajikistan","TJK","..","..","..","..","..","34","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Tanzania","TZA","..","37.3","..","..","..","..","..","..","40.5","..","..",".."
Gini index,"SI.POV.GINI","Thailand","THA","45.3","42.8","39.3","37.8","37","36","36.9","36.5","36.4","34.9","35",".."
Gini index,"SI.POV.GINI","Timor-Leste","TLS","..","..","..","..","28.7","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Togo","TGO","..","..","..","..","..","43.1","..","..","42.4","..","..",".."
Gini index,"SI.POV.GINI","Tonga","TON","..","37.7","..","..","..","37.6","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Trinidad and Tobago","TTO","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Tunisia","TUN","40.2","40.8","..","..","..","32.8","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Turkiye","TUR","..","..","40.2","40.2","41.2","42.9","41.9","41.4","41.9","41.9","..",".."
Gini index,"SI.POV.GINI","Turkmenistan","TKM","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Turks and Caicos Islands","TCA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Tuvalu","TUV","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Uganda","UGA","..","..","41","..","..","..","42.8","..","..","42.7","..",".."
Gini index,"SI.POV.GINI","Ukraine","UKR","..","..","24.7","24.6","24","25.5","25","26","26.1","26.6","25.6",".."
Gini index,"SI.POV.GINI","United Arab Emirates","ARE","..","..","..","32.5","..","..","..","..","26","..","..",".."
Gini index,"SI.POV.GINI","United Kingdom","GBR","..","39.6","32.3","33.2","34","33.2","34.8","35.1","..","..","..",".."
Gini index,"SI.POV.GINI","United States","USA","..","40.1","40.9","40.7","41.5","41.2","41.1","41.2","41.4","41.5","..",".."
Gini index,"SI.POV.GINI","Uruguay","URY","..","..","39.9","40.5","40.1","40.1","39.7","39.5","39.7","39.7","40.2",".."
Gini index,"SI.POV.GINI","Uzbekistan","UZB","..","36.1","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Vanuatu","VUT","..","..","..","..","..","..","..","..","..","32.3","..",".."
Gini index,"SI.POV.GINI","Venezuela, RB","VEN","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Vietnam","VNM","..","..","35.6","..","34.8","..","35.3","..","35.7","..","..",".."
Gini index,"SI.POV.GINI","Virgin Islands (U.S.)","VIR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","West Bank and Gaza","PSE","..","..","..","..","..","..","33.7","..","..","..","..",".."
Gini index,"SI.POV.GINI","Yemen, Rep.","YEM","..","..","..","..","36.7","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Zambia","ZMB","..","..","..","..","..","57.1","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Zimbabwe","ZWE","..","..","..","..","..","..","..","44.3","..","50.3","..",".."
Gini index,"SI.POV.GINI","Africa Eastern and Southern","AFE","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Africa Western and Central","AFW","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Arab World","ARB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Caribbean small states","CSS","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Central Europe and the Baltics","CEB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Early-demographic dividend","EAR","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","East Asia & Pacific","EAS","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","East Asia & Pacific (excluding high income)","EAP","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","East Asia & Pacific (IDA & IBRD countries)","TEA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Euro area","EMU","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Europe & Central Asia","ECS","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Europe & Central Asia (excluding high income)","ECA","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Europe & Central Asia (IDA & IBRD countries)","TEC","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","European Union","EUU","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Fragile and conflict affected situations","FCS","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","Heavily indebted poor countries (HIPC)","HPC","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","High income","HIC","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","IBRD only","IBD","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","IDA & IBRD total","IBT","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","IDA blend","IDB","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","IDA only","IDX","..","..","..","..","..","..","..","..","..","..","..",".."
Gini index,"SI.POV.GINI","IDA total","IDA","..","..","..","..","..","..","..","..","..","..","..",".."
